window,activate window menu,general
window,close window,general
window,copy window screenshot,general
window,hide window,general
window,maximize window,general
window,move window,general
window,move window one workspace down,general
window,move window one workspace up,general
window,move window to last workspace,general
window,resize window,general
window,restore window,general
window,save window screenshot,general
________________________________________________________________________________
screenshot,copy partial screenshot,general
screenshot,copy screenshot,general
screenshot,copy window screenshot,general
screenshot,save partial screenshot,general
screenshot,save screenshot,general
screenshot,save window screenshot,general
________________________________________________________________________________
move,move to workspace above,general
move,move to workspace below,general
move,move window,general
move,move window one workspace down,general
move,move window one workspace up,general
move,move window to last workspace,general
________________________________________________________________________________
to,move to workspace above,general
to,move to workspace below,general
to,move window to last workspace,general
to,switch to next input source,general
to,switch to previous input source,general
________________________________________________________________________________
workspace,move to workspace above,general
workspace,move to workspace below,general
workspace,move window one workspace down,general
workspace,move window one workspace up,general
workspace,move window to last workspace,general
________________________________________________________________________________
show,show activities overview,general
show,show all applications,general
show,show command prompt,general
show,show notification list,general
show,show overview,general
________________________________________________________________________________
switch,switch to next input source,general
switch,switch to previous input source,general
switch,switch windows,general
switch,switch windows directly,general
switch,switch windows of,general
________________________________________________________________________________
windows,hide all windows,general
windows,switch windows,general
windows,switch windows directly,general
windows,switch windows of,general
________________________________________________________________________________
turn,turn screen reader off,general
turn,turn screen reader on,general
turn,turn zoom off,general
turn,turn zoom on,general
________________________________________________________________________________
on,turn screen reader on,general
on,turn zoom on,general
on,view split on left,general
on,view split on right,general
________________________________________________________________________________
zoom,turn zoom off,general
zoom,turn zoom on,general
zoom,zoom in,general
zoom,zoom out,general
________________________________________________________________________________
copy,copy partial screenshot,general
copy,copy screenshot,general
copy,copy window screenshot,general
________________________________________________________________________________
screen,lock screen,general
screen,turn screen reader off,general
screen,turn screen reader on,general
________________________________________________________________________________
save,save partial screenshot,general
save,save screenshot,general
save,save window screenshot,general
________________________________________________________________________________
menu,activate window menu,general
menu,open application menu,general
________________________________________________________________________________
partial,copy partial screenshot,general
partial,save partial screenshot,general
________________________________________________________________________________
notification,focus active notification,general
notification,show notification list,general
________________________________________________________________________________
hide,hide all windows,general
hide,hide window,general
________________________________________________________________________________
all,hide all windows,general
all,show all applications,general
________________________________________________________________________________
out,log out,general
out,zoom out,general
________________________________________________________________________________
one,move window one workspace down,general
one,move window one workspace up,general
________________________________________________________________________________
overview,show activities overview,general
overview,show overview,general
________________________________________________________________________________
input,switch to next input source,general
input,switch to previous input source,general
________________________________________________________________________________
source,switch to next input source,general
source,switch to previous input source,general
________________________________________________________________________________
reader,turn screen reader off,general
reader,turn screen reader on,general
________________________________________________________________________________
off,turn screen reader off,general
off,turn zoom off,general
________________________________________________________________________________
view,view split on left,general
view,view split on right,general
________________________________________________________________________________
split,view split on left,general
split,view split on right,general
________________________________________________________________________________
activate,activate window menu,general
________________________________________________________________________________
close,close window,general
________________________________________________________________________________
focus,focus active notification,general
________________________________________________________________________________
active,focus active notification,general
________________________________________________________________________________
lock,lock screen,general
________________________________________________________________________________
log,log out,general
________________________________________________________________________________
maximize,maximize window,general
________________________________________________________________________________
above,move to workspace above,general
________________________________________________________________________________
below,move to workspace below,general
________________________________________________________________________________
down,move window one workspace down,general
________________________________________________________________________________
up,move window one workspace up,general
________________________________________________________________________________
last,move window to last workspace,general
________________________________________________________________________________
open,open application menu,general
________________________________________________________________________________
application,open application menu,general
________________________________________________________________________________
record,record screencast,general
________________________________________________________________________________
screencast,record screencast,general
________________________________________________________________________________
resize,resize window,general
________________________________________________________________________________
restore,restore window,general
________________________________________________________________________________
activities,show activities overview,general
________________________________________________________________________________
applications,show all applications,general
________________________________________________________________________________
command,show command prompt,general
________________________________________________________________________________
prompt,show command prompt,general
________________________________________________________________________________
list,show notification list,general
________________________________________________________________________________
next,switch to next input source,general
________________________________________________________________________________
previous,switch to previous input source,general
________________________________________________________________________________
directly,switch windows directly,general
________________________________________________________________________________
of,switch windows of,general
________________________________________________________________________________
left,view split on left,general
________________________________________________________________________________
right,view split on right,general
________________________________________________________________________________
in,zoom in,general
________________________________________________________________________________
