capital,capital a,keys
capital,capital b,keys
capital,capital c,keys
capital,capital d,keys
capital,capital e,keys
capital,capital f,keys
capital,capital g,keys
capital,capital h,keys
capital,capital i,keys
capital,capital j,keys
capital,capital k,keys
capital,capital l,keys
capital,capital m,keys
capital,capital n,keys
capital,capital o,keys
capital,capital p,keys
capital,capital q,keys
capital,capital r,keys
capital,capital s,keys
capital,capital t,keys
capital,capital u,keys
capital,capital v,keys
capital,capital w,keys
capital,capital x,keys
capital,capital y,keys
capital,capital z,keys
________________________________________________________________________________
small,small a,keys
small,small b,keys
small,small c,keys
small,small d,keys
small,small e,keys
small,small f,keys
small,small g,keys
small,small h,keys
small,small i,keys
small,small j,keys
small,small k,keys
small,small l,keys
small,small m,keys
small,small n,keys
small,small o,keys
small,small p,keys
small,small q,keys
small,small r,keys
small,small s,keys
small,small t,keys
small,small u,keys
small,small v,keys
small,small w,keys
small,small x,keys
small,small y,keys
small,small z,keys
________________________________________________________________________________
f,capital f,keys
f,f eight,keys
f,f eleven,keys
f,f five,keys
f,f four,keys
f,f nine,keys
f,f one,keys
f,f seven,keys
f,f six,keys
f,f ten,keys
f,f three,keys
f,f twelve,keys
f,f two,keys
f,small f,keys
________________________________________________________________________________
left,alt left,keys
left,brace left,keys
left,bracket left,keys
left,control left,keys
left,left,keys
left,left curly bracket,keys
left,left parenthesis,keys
left,left square bracket,keys
left,paren left,keys
left,parenthesis left,keys
left,shift left,keys
left,super left,keys
________________________________________________________________________________
right,alt right,keys
right,brace right,keys
right,bracket right,keys
right,bracket square right,keys
right,control right,keys
right,paren right,keys
right,parenthesis right,keys
right,right,keys
right,right curly bracket,keys
right,right parenthesis,keys
right,shift right,keys
right,super right,keys
________________________________________________________________________________
function,function eight,keys
function,function eleven,keys
function,function five,keys
function,function four,keys
function,function nine,keys
function,function one,keys
function,function seven,keys
function,function six,keys
function,function ten,keys
function,function three,keys
function,function twelve,keys
function,function two,keys
________________________________________________________________________________
bracket,bracket left,keys
bracket,bracket right,keys
bracket,bracket square right,keys
bracket,left curly bracket,keys
bracket,left square bracket,keys
bracket,right curly bracket,keys
________________________________________________________________________________
sign,dollar sign,keys
sign,equals sign,keys
sign,number sign,keys
sign,percent sign,keys
sign,plus sign,keys
________________________________________________________________________________
parenthesis,left parenthesis,keys
parenthesis,parenthesis left,keys
parenthesis,parenthesis right,keys
parenthesis,right parenthesis,keys
________________________________________________________________________________
one,f one,keys
one,function one,keys
one,one,keys
________________________________________________________________________________
two,f two,keys
two,function two,keys
two,two,keys
________________________________________________________________________________
three,f three,keys
three,function three,keys
three,three,keys
________________________________________________________________________________
four,f four,keys
four,four,keys
four,function four,keys
________________________________________________________________________________
five,f five,keys
five,five,keys
five,function five,keys
________________________________________________________________________________
six,f six,keys
six,function six,keys
six,six,keys
________________________________________________________________________________
seven,f seven,keys
seven,function seven,keys
seven,seven,keys
________________________________________________________________________________
eight,eight,keys
eight,f eight,keys
eight,function eight,keys
________________________________________________________________________________
nine,f nine,keys
nine,function nine,keys
nine,nine,keys
________________________________________________________________________________
lock,caps lock,keys
lock,num lock,keys
lock,scroll lock,keys
________________________________________________________________________________
mark,exclamation mark,keys
mark,question mark,keys
mark,quotation mark,keys
________________________________________________________________________________
shift,shift,keys
shift,shift left,keys
shift,shift right,keys
________________________________________________________________________________
control,control,keys
control,control left,keys
control,control right,keys
________________________________________________________________________________
super,super,keys
super,super left,keys
super,super right,keys
________________________________________________________________________________
alt,alt,keys
alt,alt left,keys
alt,alt right,keys
________________________________________________________________________________
up,page up,keys
up,up,keys
________________________________________________________________________________
down,down,keys
down,page down,keys
________________________________________________________________________________
ten,f ten,keys
ten,function ten,keys
________________________________________________________________________________
eleven,f eleven,keys
eleven,function eleven,keys
