tab,close tab,
tab,eight switch tab to,
tab,five switch tab to,
tab,four switch tab to,
tab,go next tab to,
tab,go previous tab to,
tab,in new open tab,
tab,left move tab,
tab,move right tab,
tab,new tab,
tab,nine switch tab to,
tab,one switch tab to,
tab,restore tab,
tab,seven switch tab to,
tab,six switch tab to,
tab,switch tab three to,
tab,switch tab to two,
________________________________________________________________________________
to,eight switch tab to,
to,five switch tab to,
to,folder go home to,
to,four switch tab to,
to,go next tab to,
to,go previous tab to,
to,move to trash,
to,nine switch tab to,
to,one switch tab to,
to,seven switch tab to,
to,six switch tab to,
to,switch tab three to,
to,switch tab to two,
________________________________________________________________________________
switch,eight switch tab to,
switch,five switch tab to,
switch,four switch tab to,
switch,nine switch tab to,
switch,one switch tab to,
switch,seven switch tab to,
switch,six switch tab to,
switch,switch tab three to,
switch,switch tab to two,
________________________________________________________________________________
show,action menu show,
show,files hidden show,
show,help show,
show,item properties show,
show,show sidebar,
________________________________________________________________________________
open,and close file open window,
open,in new open tab,
open,in new open window,
open,item location open,
open,open,
________________________________________________________________________________
new,folder new,
new,in new open tab,
new,in new open window,
new,new tab,
new,new window,
________________________________________________________________________________
window,and close file open window,
window,close window,
window,in new open window,
window,new window,
________________________________________________________________________________
hide,action hide menu,
hide,files hidden hide,
hide,hide sidebar,
________________________________________________________________________________
close,and close file open window,
close,close tab,
close,close window,
________________________________________________________________________________
go,folder go home to,
go,go next tab to,
go,go previous tab to,
________________________________________________________________________________
in,in new open tab,
in,in new open window,
in,in zoom,
________________________________________________________________________________
zoom,in zoom,
zoom,out zoom,
zoom,reset zoom,
________________________________________________________________________________
move,left move tab,
move,move right tab,
move,move to trash,
________________________________________________________________________________
action,action hide menu,
action,action menu show,
________________________________________________________________________________
menu,action hide menu,
menu,action menu show,
________________________________________________________________________________
select,all select,
select,items matching select,
________________________________________________________________________________
location,enter location,
location,item location open,
________________________________________________________________________________
files,files hidden hide,
files,files hidden show,
________________________________________________________________________________
hidden,files hidden hide,
hidden,files hidden show,
________________________________________________________________________________
folder,folder go home to,
folder,folder new,
________________________________________________________________________________
sidebar,hide sidebar,
sidebar,show sidebar,
________________________________________________________________________________
item,item location open,
item,item properties show,
________________________________________________________________________________
all,all select,
________________________________________________________________________________
and,and close file open window,
________________________________________________________________________________
file,and close file open window,
________________________________________________________________________________
back,back,
________________________________________________________________________________
copy,copy,
________________________________________________________________________________
cut,cut,
________________________________________________________________________________
delete,delete permanently,
________________________________________________________________________________
permanently,delete permanently,
________________________________________________________________________________
eight,eight switch tab to,
________________________________________________________________________________
enter,enter location,
________________________________________________________________________________
five,five switch tab to,
________________________________________________________________________________
home,folder go home to,
________________________________________________________________________________
four,four switch tab to,
________________________________________________________________________________
next,go next tab to,
________________________________________________________________________________
previous,go previous tab to,
________________________________________________________________________________
help,help show,
________________________________________________________________________________
invert,invert selection,
________________________________________________________________________________
selection,invert selection,
________________________________________________________________________________
properties,item properties show,
________________________________________________________________________________
items,items matching select,
________________________________________________________________________________
matching,items matching select,
________________________________________________________________________________
left,left move tab,
________________________________________________________________________________
right,move right tab,
________________________________________________________________________________
trash,move to trash,
________________________________________________________________________________
nine,nine switch tab to,
________________________________________________________________________________
one,one switch tab to,
________________________________________________________________________________
out,out zoom,
________________________________________________________________________________
paste,paste,
________________________________________________________________________________
redo,redo,
________________________________________________________________________________
refresh,refresh,
________________________________________________________________________________
rename,rename,
________________________________________________________________________________
reset,reset zoom,
________________________________________________________________________________
restore,restore tab,
________________________________________________________________________________
search,search,
________________________________________________________________________________
seven,seven switch tab to,
________________________________________________________________________________
shortcuts,shortcuts,
________________________________________________________________________________
six,six switch tab to,
________________________________________________________________________________
three,switch tab three to,
________________________________________________________________________________
two,switch tab to two,
________________________________________________________________________________
undo,undo,
________________________________________________________________________________
