tab,keys
go,firefox
close,code
left,keys
right,keys
open,nautilus
one,keys
find,code
find,gnome-terminal
find,gedit
find,firefox
down,keys
down,firefox
up,keys
up,firefox
delete,keys
delete,firefox
end,keys
copy,code
copy,gnome-terminal
copy,gedit
copy,firefox
copy,nautilus
save,code
save,gedit
save,firefox
back,firefox
back,nautilus
menu,keys
undo,code
undo,gedit
undo,firefox
undo,nautilus
eight,keys
five,keys
four,keys
paste,code
paste,gnome-terminal
paste,gedit
paste,firefox
paste,nautilus
seven,keys
six,keys
three,keys
two,keys
forward,firefox
insert,keys
nine,keys
print,keys
print,gedit
print,firefox
start,code
stop,code
stop,firefox
bar,keys
bottom,code
bottom,firefox
control,keys
cut,code
cut,gedit
cut,firefox
cut,nautilus
percent,keys
search,nautilus
top,code
top,firefox
alt,keys
and,keys
home,keys
home,firefox
redo,gedit
redo,firefox
redo,nautilus
replace,code
restore,code
shift,keys
super,keys
at,keys
caret,keys
colon,keys
dollar,keys
enter,keys
equals,keys
pause,keys
pause,firefox
plus,keys
reload,firefox
rename,nautilus
rotate,firefox
shortcuts,nautilus
slash,keys
solidus,keys
ampersand,keys
apostrophe,keys
asterisk,keys
backspace,keys
comma,keys
continue,code
debugger,firefox
downloads,firefox
escape,keys
grave,keys
hash,keys
hyphen,keys
inspector,firefox
meta,keys
minus,keys
mute,firefox
network,firefox
period,keys
pipe,keys
play,firefox
profiler,firefox
quit,firefox
refresh,nautilus
space,keys
tilde,keys
unmute,firefox
zero,keys
close tab,gnome-terminal
close tab,gedit
close tab,firefox
close tab,nautilus
previous tab,code
previous tab,gnome-terminal
previous tab,firefox
new tab,gnome-terminal
new tab,gedit
new tab,firefox
new tab,nautilus
next tab,code
next tab,gnome-terminal
next tab,firefox
restore tab,nautilus
move window,general
close window,code
close window,code
close window,general
close window,gnome-terminal
close window,gedit
close window,firefox
close window,nautilus
line down,code
line up,code
switch windows,general
new window,code
new window,gnome-terminal
new window,gedit
new window,firefox
new window,nautilus
delete line,code
capital f,keys
small f,keys
close all,code
