left,Left
up,Up
right,Right
down,Down
escape,Escape
f one,F1
f two,F2
f three,F3
f four,F4
f five,F5
f six,F6
f seven,F7
f eight,F8
f nine,F9
f ten,F10
f eleven,F11
f twelve,F12
function one,F1
function two,F2
function three,F3
function four,F4
function five,F5
function six,F6
function seven,F7
function eight,F8
function nine,F9
function ten,F10
function eleven,F11
function twelve,F12
print screen,Print
print,Print
scroll lock,Scroll_Lock
pause,Pause
grave,grave
tilde,asciitilde
exclamation mark,exclam
at,at
number sign,numbersign
hash,numbersign
dollar sign,dollar
dollar,dollar
percent sign,percent
percent,percent
circumflex accent,asciicircum
caret,asciicircum
ampersand,ampersand
and,ampersand
asterisk,asterisk
left parenthesis,parenleft
paren left,parenleft
parenthesis left,parenleft
right parenthesis,parenright
parenthesis right,parenright
paren right,parenright
minus,minus
hyphen,minus
low line,underscore
under score,underscore
equals sign,equal
equals,equal
plus sign,plus
plus,plus
reverse solidus,backslash
back slash,backslash
vertical line,bar
bar,bar
pipe,bar
backspace,BackSpace
insert,Insert
home,Home
page up,Page_Up
num lock,Num_Lock
tab,Tab
left square bracket,bracketleft
bracket left,bracketleft
left curly bracket,braceleft
brace left,braceleft
bracket square right,bracketright
bracket right,bracketright
right curly bracket,braceright
brace right,braceright
enter,Return
delete,Delete
end,End
page down,Page_Down
caps lock,Caps_Lock
colon,colon
semi colon,semicolon
apostrophe,apostrophe
quotation mark,quotedbl
double quote,quotedbl
shift,shift
shift left,Shift_L
less than,less
comma,comma
greater than,greater
full stop,period
period,period
question mark,question
solidus,slash
slash,slash
shift right,Shift_R
control,ctrl
control left,Control_L
super,super
super left,Super_L
alt,alt
meta,meta
alt left,Alt_L
space,space
alt right,Alt_R
super right,Super_R
menu,Menu
control right,Control_R
zero,0
one,1
two,2
three,3
four,4
five,5
six,6
seven,7
eight,8
nine,9
capital a,A
capital b,B
capital c,C
capital d,D
capital e,E
capital f,F
capital g,G
capital h,H
capital i,I
capital j,J
capital k,K
capital l,L
capital m,M
capital n,N
capital o,O
capital p,P
capital q,Q
capital r,R
capital s,S
capital t,T
capital u,U
capital v,V
capital w,W
capital x,X
capital y,Y
capital z,Z
small a,a
small b,b
small c,c
small d,d
small e,e
small f,f
small g,g
small h,h
small i,i
small j,j
small k,k
small l,l
small m,m
small n,n
small o,o
small p,p
small q,q
small r,r
small s,s
small t,t
small u,u
small v,v
small w,w
small x,x
small y,y
small z,z
