switch to the next tab to the left,Ctrl+Alt+Page_Up
switch to the next tab to the right,Ctrl+Alt+Page_Down
close tab,Ctrl+w
save all tabs,Ctrl+Shift+l
close all tabs,Ctrl+Shift+w
reopen the most recently closed tab,Ctrl+Shift+t
switch to tab 1,Alt+1
switch to tab 2,Alt+2
switch to tab 3,Alt+3
switch to tab 4,Alt+4
switch to tab 5,Alt+5
switch to tab 6,Alt+6
switch to tab 7,Alt+7
switch to tab 8,Alt+8
switch to tab 9,Alt+9
new tab group,Ctrl+Alt+n
previous tab group,Shift+Ctrl+Alt+Page_Up
next tab group,Shift+Ctrl+Alt+Page_Down
create a new document in a new window,Ctrl+n
create a new document in a new tab,Ctrl+t
open a document,Ctrl+o
open the quick open window,Alt+o
save the current document,Ctrl+s
save the current document with a new filename,Ctrl+Shift+s
print the current document,Ctrl+p
print preview,Ctrl+Shift+p
close the current document,Ctrl+w
quit gedit,Ctrl+q
move to the beginning of the current line,Home
move to the end of the current line,End
move to the beginning of the document,Ctrl+Home
move to the end of the document,Ctrl+End
move the selected word right one word,Alt+Right
move the selected word left one word,Alt+Left
undo the last action,Ctrl+z
redo the last undone action,Ctrl+Shift+z
cut,Ctrl+x
copy,Ctrl+c
paste,Ctrl+v
select all text in the file,Ctrl+a
delete the current line,Ctrl+d
move the selected line up one line,Alt+Up
move the selected line down one line,Alt+Down
add a tab stop,Tab
remove a tab stop,Shift+Tab
convert the selected text to upper case,Ctrl+u
convert the selected text to lower case,Ctrl+l
toggle case of the selected text,Ctrl+asciitilde
show / hide the side panel,F9
open the file menu,F10
find a string,Ctrl+f
find the next instance of the string,Ctrl+g
find the previous instance of the string,Ctrl+Shift+g
search and replace,Ctrl+h
clear highlight,Ctrl+Shift+k
goto line,Ctrl+i
check spelling,Shift+F7
remove trailing spaces (with plugin),Alt+F12
run "make" in the current directory (with plugin),F8
directory listing (with plugin),Ctrl+Shift+d
open the gedit user guide,F1
