SHOW COMMAND PALETTE,ctrl+shift+p
QUICK OPEN,ctrl+p
GO TO FILE,ctrl+p
NEW WINDOW,ctrl+shift+n
CLOSE WINDOW,ctrl+w
USER SETTINGS,ctrl+comma
KEYBOARD SHORTCUTS,ctrl+k ctrl+s
CUT,ctrl+x
COPY,ctrl+c
PASTE,ctrl+v
MOVE LINE DOWN,alt+Down
MOVE LINE UP,alt+Up
DELETE LINE,ctrl+shift+k
INSERT LINE BELOW,ctrl+Return
INSERT LINE ABOVE,ctrl+shift+Return
JUMP TO MATCHING BRACKET,ctrl+shift+backslash
INDENT LINE,ctrl+bracketright
OUTDENT LINE,ctrl+bracketleft
GO TO BEGINNING OF LINE,Home
GO TO END OF LINE,End
GO TO BEGINNING OF FILE,ctrl+Home
GO TO END OF FILE,End
SCROLL LINE UP,ctrl+Up
SCROLL LINE DOWN,ctrl+Down
SCROLL PAGE UP,alt+Page_Up
SCROLL PAGE DOWN,alt+Page_Down
FOLD REGION,ctrl+shift+bracketleft
UNFOLD REGION,ctrl+shift+bracketright
FOLD ALL SUBREGIONS,ctrl+k ctrl+bracketleft
UNFOLD ALL SUBREGIONS,ctrl+k ctrl+bracketright
FOLD ALL REGIONS,ctrl+k ctrl+0
UNFOLD ALL REGIONS,ctrl+k ctrl+j
ADD LINE COMMENT,ctrl+k ctrl+c
REMOVE LINE COMMENT,ctrl+k ctrl+u
TOGGLE LINE COMMENT,ctrl+slash
TOGGLE BLOCK COMMENT,ctrl+shift+a
TOGGLE WORD WRAP,alt+z
TRIGGER SUGGESTION,ctrl+space
TRIGGER PARAMETER HINTS,ctrl+shift+space
FORMAT DOCUMENT,ctrl+shift+i
FORMAT SELECTION,ctrl+k ctrl+f
GO TO DEFINITION,F12
PEEK DEFINITION,ctrl+shift+F10
OPEN DEFINITION TO THE SIDE,ctrl+k F12
QUICK FIX,ctrl+period
SHOW REFERENCES,shift+F12
RENAME SYMBOL,F2
TRIM TRAILING WHITESPACE,ctrl+k ctrl+x
CHANGE FILE LANGUAGE,ctrl+k m
INSERT CURSOR,alt
INSERT CURSOR ABOVE,shift+alt+Up
INSERT CURSOR BELOW,shift+alt+Down
UNDO LAST CURSOR OPERATION,ctrl+u
INSERT CURSOR AT END OF EACH LINE SELECTED,shift+alt+i
SELECT CURRENT LINE,ctrl+l
SELECT ALL OCCURRENCES OF CURRENT SELECTION,ctrl+shift+l
SELECT ALL OCCURRENCES OF CURRENT WORD,ctrl+F2
EXPAND SELECTION,shift+alt+Right
SHRINK SELECTION,shift+alt+Left
TOGGLE FULL SCREEN,F11
TOGGLE EDITOR LAYOUT HORIZONTAL VERTICAL ,shift+alt+0
ZOOM IN,ctrl+plus
ZOOM OUT,ctrl+minus
TOGGLE SIDEBAR VISIBILITY,ctrl+b
SHOW EXPLORER,ctrl+shift+e
TOGGLE FOCUS,ctrl+shift+e
