ADD ONS,ctrl+shift+a
ALL SELECT,ctrl+a
AS PASTE PLAIN TEXT,ctrl+shift+v
BACK,ctrl+bracketleft
BACK FIFTEEN SECONDS SEEK,Left
BACK PERCENT SEEK TEN,ctrl+Left
BAR FOCUS SEARCH,ctrl+k
BAR LOCATION SELECT,ctrl+l
BAR MENU,F10
BEGINNING GO LINE OF TO,Home
BEGINNING GO TO,ctrl+Home
BEGINNING SEEK TO,Home
BOOKMARK PAGE THIS,ctrl+d
BOOKMARKS LIBRARY WINDOW,ctrl+shift+o
BOOKMARKS SIDEBAR,ctrl+b
BOTTOM,End
BOX FOCUS NUMBER PAGE,ctrl+alt+g
BROWSER CONSOLE,ctrl+shift+j
BROWSING CARET,F7
CLEAR HISTORY,ctrl+shift+Delete
CLOSE,ctrl+shift+w
CLOSE,ctrl+shift+w
CLOSE FIND QUICK,Escape
CLOSE TAB,ctrl+w
CLOSE TAB UNDO,ctrl+shift+t
CLOSE UNDO WINDOW,ctrl+shift+n
CLOSE WINDOW,ctrl+shift+w
CONSOLE WEB,ctrl+shift+k
CONTEXT MENU TOGGLE,shift+F10
COPY,ctrl+c
COUNTERCLOCKWISE ROTATE,shift+r
CUT,ctrl+x
DEBUGGER,ctrl+shift+s
DECREASE VOLUME,Down
DELETE,Delete
DELETE LEFT TO WORD,ctrl+BackSpace
DELETE RIGHT TO WORD,ctrl+Delete
DESIGN RESPONSIVE VIEW,ctrl+shift+m
DEVELOPER TOGGLE TOOLS,ctrl+shift+i
DEVELOPER TOOLBAR,shift+F2
DOWN,Down
DOWN PAGE,Page_Down
DOWNLOADS,ctrl+shift+y
EDITOR STYLE,shift+F7
EIGHT SWITCH TAB TO,alt+8
END GO LINE OF TO,End
END GO TO,ctrl+End
END MOVE TAB TO,ctrl+shift+End
END SEEK TO,End
EXIT FULL SCREEN,F11
FIFTEEN FORWARD SECONDS SEEK,Right
FILE OPEN,ctrl+o
FIND,ctrl+f
FIND LINKS QUICK,apostrophe
FIND NEXT,ctrl+g
FIND PREVIOUS,ctrl+shift+g
FIND QUICK,slash
FIVE SWITCH TAB TO,alt+5
FOCUS NEXT,Tab
FOCUS PREVIOUS,shift+Tab
FORCE RELOAD,ctrl+shift+r
FORWARD,ctrl+bracketright
FORWARD PERCENT SEEK TEN,ctrl+Right
FOUR SWITCH TAB TO,alt+4
FRAME MOVE NEXT TO,F6
FRAME MOVE PREVIOUS TO,shift+F6
FULL SCREEN,F11
GO,ctrl+Return
GO LEFT ONE TO WORD,ctrl+Left
GO ONE RIGHT TO WORD,ctrl+Right
HAND TOOL,h
HISTORY LIBRARY WINDOW,ctrl+shift+h
HISTORY SIDEBAR,ctrl+h
HOME,alt+Home
IN ZOOM,ctrl+plus
INCREASE VOLUME,Up
INFO PAGE,ctrl+i
INSPECTOR,ctrl+shift+c
LAST SWITCH TAB TO,alt+9
LEFT MOVE TAB,ctrl+shift+Page_Up
MODE PRESENTATION SWITCH TO,ctrl+alt+p
MODE READER TOGGLE,ctrl+alt+r
MOVE RIGHT TAB,ctrl+shift+Page_Down
MOVE START TAB TO,ctrl+shift+Home
MUTE,ctrl+m
NETWORK,ctrl+shift+e
NEW PRIVATE WINDOW,ctrl+shift+p
NEW TAB,ctrl+t
NEW WINDOW,ctrl+n
NEXT PAGE,n
NEXT TAB,ctrl+Page_Down
ONE SWITCH TAB TO,alt+1
OUT ZOOM,ctrl+minus
PAGE PREVIOUS,p
PAGE SOURCE,ctrl+u
PAGE UP,Page_Up
PASTE,ctrl+v
PAUSE,space
PLAY,space
PREVIOUS TAB,ctrl+Page_Up
PRINT,ctrl+p
PROFILER,shift+F5
QUIT,ctrl+q
REDO,ctrl+shift+z
RELOAD,ctrl+r
RESET ZOOM,ctrl+0
ROTATE,r
SAVE,ctrl+s
SELECTION TEXT TOOL,s
SEVEN SWITCH TAB TO,alt+7
SIX SWITCH TAB TO,alt+6
STOP,Escape
SWITCH TAB THREE TO,alt+3
SWITCH TAB TO TWO,alt+2
TOP,Home
UNDO,ctrl+z
UNMUTE,ctrl+m
UP,Up
