BACK,ctrl+bracketleft
FORWARD,ctrl+bracketright
HOME,alt+Home
OPEN FILE,ctrl+o
RELOAD,ctrl+r
FORCE RELOAD,ctrl+shift+r
STOP,Escape
FOCUS NEXT,Tab
FOCUS PREVIOUS,shift+Tab
DOWN,Page_Down
UP,Page_Up
BOTTOM,End
TOP,Home
MOVE TO NEXT FRAME,F6
MOVE TO PREVIOUS FRAME,shift+F6
PRINT,ctrl+p
SAVE,ctrl+s
ZOOM IN,ctrl+plus
ZOOM OUT,ctrl+minus
RESET ZOOM,ctrl+0
COPY,ctrl+c
CUT,ctrl+x
DELETE,Delete
DELETE WORD TO LEFT,ctrl+BackSpace
DELETE WORD TO RIGHT,ctrl+Delete
GO ONE WORD TO LEFT,ctrl+Left
GO ONE WORD TO RIGHT,ctrl+Right
GO TO BEGINNING OF LINE,Home
GO TO END OF LINE,End
GO TO BEGINNING,ctrl+Home
GO TO END,ctrl+End
PASTE,ctrl+v
PASTE AS PLAIN TEXT,ctrl+shift+v
REDO,ctrl+shift+z
SELECT ALL,ctrl+a
UNDO,ctrl+z
FIND,ctrl+f
FIND NEXT,ctrl+g
FIND PREVIOUS,ctrl+shift+g
QUICK FIND LINKS,apostrophe
QUICK FIND,slash
CLOSE QUICK FIND,Escape
FOCUS SEARCH BAR,ctrl+k
CLOSE TAB,ctrl+w
CLOSE WINDOW,ctrl+shift+w
QUIT,ctrl+q
NEXT TAB,ctrl+Page_Down
PREVIOUS TAB,ctrl+Page_Up
MOVE TAB LEFT,ctrl+shift+Page_Up
MOVE TAB RIGHT,ctrl+shift+Page_Down
MOVE TAB TO START,ctrl+shift+Home
MOVE TAB TO END,ctrl+shift+End
MUTE,ctrl+m
UNMUTE,ctrl+m
NEW TAB,ctrl+t
NEW WINDOW,ctrl+n
NEW PRIVATE WINDOW,ctrl+shift+p
UNDO CLOSE TAB,ctrl+shift+t
UNDO CLOSE WINDOW,ctrl+shift+n
SWITCH TO TAB ONE,alt+1
SWITCH TO TAB TWO,alt+2
SWITCH TO TAB THREE,alt+3
SWITCH TO TAB FOUR,alt+4
SWITCH TO TAB FIVE,alt+5
SWITCH TO TAB SIX,alt+6
SWITCH TO TAB SEVEN,alt+7
SWITCH TO TAB EIGHT,alt+8
SWITCH TO LAST TAB,alt+9
HISTORY SIDEBAR,ctrl+h
LIBRARY WINDOW HISTORY,ctrl+shift+h
CLEAR HISTORY,ctrl+shift+Delete
BOOKMARK THIS PAGE,ctrl+d
BOOKMARKS SIDEBAR,ctrl+b
LIBRARY WINDOW BOOKMARKS,ctrl+shift+o
DOWNLOADS,ctrl+shift+y
ADD ONS,ctrl+shift+a
TOGGLE DEVELOPER TOOLS,ctrl+shift+i
WEB CONSOLE,ctrl+shift+k
INSPECTOR,ctrl+shift+c
DEBUGGER,ctrl+shift+s
STYLE EDITOR,shift+F7
PROFILER,shift+F5
NETWORK,ctrl+shift+e
DEVELOPER TOOLBAR,shift+F2
RESPONSIVE DESIGN VIEW,ctrl+shift+m
PAGE SOURCE,ctrl+u
BROWSER CONSOLE,ctrl+shift+j
PAGE INFO,ctrl+i
NEXT PAGE,n
PREVIOUS PAGE,p
ROTATE,r
ROTATE COUNTERCLOCKWISE,shift+r
SWITCH TO PRESENTATION MODE,ctrl+alt+p
TEXT SELECTION TOOL,s
HAND TOOL,h
FOCUS PAGE NUMBER BOX,ctrl+alt+g
GO,ctrl+Return
FULL SCREEN,F11
EXIT FULL SCREEN,F11
MENU BAR,F10
TOGGLE READER MODE,ctrl+alt+r
CARET BROWSING,F7
SELECT LOCATION BAR,ctrl+l
TOGGLE CONTEXT MENU,shift+F10
PLAY,space
PAUSE,space
DECREASE VOLUME,Down
INCREASE VOLUME,Up
SEEK BACK FIFTEEN SECONDS,Left
SEEK BACK TEN PERCENT,ctrl+Left
SEEK FORWARD FIFTEEN SECONDS,Right
SEEK FORWARD TEN PERCENT,ctrl+Right
SEEK TO BEGINNING,Home
SEEK TO END,End
