ABOVE MOVE TO WORKSPACE,super+Page_Up
ACTIVATE MENU WINDOW,alt+space
ACTIVE FOCUS NOTIFICATION,super+n
ACTIVITIES OVERVIEW SHOW,alt+F1
ALL APPLICATIONS SHOW,super+a
ALL HIDE WINDOWS,ctrl+super+d
APPLICATION MENU OPEN,super+F10
BELOW MOVE TO WORKSPACE,super+Page_Down
CLOSE WINDOW,alt+F4
COMMAND PROMPT SHOW,alt+F2
COPY PARTIAL SCREENSHOT,ctrl+shift+Print
COPY SCREENSHOT,ctrl+Print
COPY SCREENSHOT WINDOW,ctrl+alt+Print
DIRECTLY SWITCH WINDOWS,alt+Escape
DOWN MOVE ONE WINDOW WORKSPACE,shift+super+Page_Down
HIDE WINDOW,super+h
IN ZOOM,alt+super+equal
INPUT NEXT SOURCE SWITCH TO,super+space
INPUT PREVIOUS SOURCE SWITCH TO,shift+super+space
LAST MOVE TO WINDOW WORKSPACE,shift+super+End
LEFT ON SPLIT VIEW,super+Left
LIST NOTIFICATION SHOW,super+v
LOCK SCREEN,super+l
LOG OUT,ctrl+alt+Delete
MAXIMIZE WINDOW,super+Up
MOVE ONE UP WINDOW WORKSPACE,shift+super+Page_Up
MOVE WINDOW,alt+F7
OF SWITCH WINDOWS,alt+F6
OFF READER SCREEN TURN,alt+super+s
OFF TURN ZOOM,alt+super+8
ON READER SCREEN TURN,alt+super+s
ON RIGHT SPLIT VIEW,super+Right
ON TURN ZOOM,alt+super+8
OUT ZOOM,alt+super+minus
OVERVIEW SHOW,super+s
PARTIAL SAVE SCREENSHOT,shift+Print
RECORD SCREENCAST,shift+ctrl+alt+r
RESIZE WINDOW,alt+F8
RESTORE WINDOW,super+Down
SAVE SCREENSHOT,Print
SAVE SCREENSHOT WINDOW,alt+Print
SWITCH WINDOWS,alt+Tab
