NEW TAB,shift+ctrl+t
NEW WINDOW,shift+ctrl+n
CLOSE TAB,shift+ctrl+w
CLOSE WINDOW,shift+ctrl+q
COPY,shift+ctrl+c
PASTE,shift+ctrl+v
FULL SCREEN,F11
ZOOM IN,ctrl+plus
ZOOM OUT,ctrl+minus
RESET ZOOM,ctrl+0
FIND,shift+ctrl+f
FIND NEXT,shift+ctrl+g
FIND PREVIOUS,shift+ctrl+h
CLEAR HIGHLIGHT,shift+ctrl+j
SWITCH TO PREVIOUS TAB,ctrl+Page_Up
SWITCH TO NEXT TAB,ctrl+Page_Down
MOVE TAB TO LEFT,shift+ctrl+Page_Up
MOVE TAB TO RIGHT,shift+ctrl+Page_Down
SWITCH TO TAB ONE,alt+1
SWITCH TO TAB TWO,alt+2
SWITCH TO TAB THREE,alt+3
SWITCH TO TAB FOUR,alt+4
SWITCH TO TAB FIVE,alt+5
SWITCH TO TAB SIX,alt+6
SWITCH TO TAB SEVEN,alt+7
SWITCH TO TAB EIGHT,alt+8
SWITCH TO TAB NINE,alt+9
SWITCH TO TAB TEN,alt+0
SCROLL UP ONE LINE,shift+ctrl+Up
SCROLL DOWN ONE LINE,shift+ctrl+Down
SCROLL UP ONE PAGE,shift+Page_Up
SCROLL DOWN ONE PAGE,shift+Page_Down
SCROLL TO TOP,shift+Home
SCROLL TO BOTTOM,shift+End
ERASE WORD,ctrl+w
ERASE LINE,ctrl+u
MOVE TO START OF LINE,ctrl+a
MOVE TO END OF LINE,ctrl+e
MOVE BACK ONE CHARACTER,ctrl+b
MOVE BACK ONE WORD,alt+b
MOVE FORWARD ONE CHARACTER,ctrl+f
MOVE FORWARD ONE WORD,alt+f
DELETE TO START OF LINE,ctrl+u
DELETE TO END OF LINE,ctrl+k
DELETE TO START OF WORD,ctrl+w
DELETE PREVIOUS WORD,alt+BackSpace
CLEAR SCREEN,ctrl+l
