A CAPITAL,A
A CAPITAL LETTER,A
A LETTER SMALL,a
A SMALL,a
ACCENT CIRCUMFLEX,asciicircum
ALT,Alt_L
ALT LEFT,Alt_L
ALT RIGHT,Alt_R
AMPERSAND,ampersand
AND,ampersand
APOSTROPHE,apostrophe
ASTERISK,asterisk
AT,at
B CAPITAL,B
B CAPITAL LETTER,B
B LETTER SMALL,b
B SMALL,b
BACK SLASH,backslash
BACKSPACE,BackSpace
BAR,bar
BRACE LEFT,braceleft
BRACE RIGHT,braceright
BRACKET CURLY LEFT,braceleft
BRACKET CURLY RIGHT,braceright
BRACKET LEFT,bracketleft
BRACKET LEFT SQUARE,bracketleft
BRACKET RIGHT,bracketright
BRACKET RIGHT SQUARE,bracketright
C CAPITAL,C
C CAPITAL LETTER,C
C LETTER SMALL,c
C SMALL,c
CAPITAL D,D
CAPITAL D LETTER,D
CAPITAL E,E
CAPITAL E LETTER,E
CAPITAL F,F
CAPITAL F LETTER,F
CAPITAL G,G
CAPITAL G LETTER,G
CAPITAL H,H
CAPITAL H LETTER,H
CAPITAL I,I
CAPITAL I LETTER,I
CAPITAL J,J
CAPITAL J LETTER,J
CAPITAL K,K
CAPITAL K LETTER,K
CAPITAL L,L
CAPITAL L LETTER,L
CAPITAL LETTER M,M
CAPITAL LETTER N,N
CAPITAL LETTER O,O
CAPITAL LETTER P,P
CAPITAL LETTER Q,Q
CAPITAL LETTER R,R
CAPITAL LETTER S,S
CAPITAL LETTER T,T
CAPITAL LETTER U,U
CAPITAL LETTER V,V
CAPITAL LETTER W,W
CAPITAL LETTER X,X
CAPITAL LETTER Y,Y
CAPITAL LETTER Z,Z
CAPITAL M,M
CAPITAL N,N
CAPITAL O,O
CAPITAL P,P
CAPITAL Q,Q
CAPITAL R,R
CAPITAL S,S
CAPITAL T,T
CAPITAL U,U
CAPITAL V,V
CAPITAL W,W
CAPITAL X,X
CAPITAL Y,Y
CAPITAL Z,Z
CAPS LOCK,Caps_Lock
CARET,asciicircum
COLON,colon
COLON SEMI,semicolon
COMMA,comma
CONTROL,Control_L
CONTROL LEFT,Control_L
CONTROL RIGHT,Control_R
D LETTER SMALL,d
D SMALL,d
DELETE,Delete
DOLLAR,dollar
DOLLAR SIGN,dollar
DOUBLE QUOTE,quotedbl
DOWN,Down
DOWN PAGE,Page_Down
E LETTER SMALL,e
E SMALL,e
EIGHT,8
EIGHT F,F8
EIGHT FUNCTION,F8
ELEVEN F,F11
ELEVEN FUNCTION,F11
END,End
ENTER,Return
EQUALS,equal
EQUALS SIGN,equal
ESCAPE,Escape
EXCLAMATION MARK,exclam
F FIVE,F5
F FOUR,F4
F LETTER SMALL,f
F NINE,F9
F ONE,F1
F SEVEN,F7
F SIX,F6
F SMALL,f
F TEN,F10
F THREE,F3
F TWELVE,F12
F TWO,F2
FIVE,5
FIVE FUNCTION,F5
FOUR,4
FOUR FUNCTION,F4
FULL STOP,period
FUNCTION NINE,F9
FUNCTION ONE,F1
FUNCTION SEVEN,F7
FUNCTION SIX,F6
FUNCTION TEN,F10
FUNCTION THREE,F3
FUNCTION TWELVE,F12
FUNCTION TWO,F2
G LETTER SMALL,g
G SMALL,g
GRAVE,grave
GREATER THAN,greater
H LETTER SMALL,h
H SMALL,h
HASH,numbersign
HOME,Home
HYPHEN,minus
I LETTER SMALL,i
I SMALL,i
INSERT,Insert
J LETTER SMALL,j
J SMALL,j
K LETTER SMALL,k
K SMALL,k
L LETTER SMALL,l
L SMALL,l
LEFT,Left
LEFT PAREN,parenleft
LEFT PARENTHESIS,parenleft
LEFT PARENTHESIS,parenleft
LEFT SHIFT,Shift_L
LEFT SUPER,Super_L
LESS THAN,less
LETTER M SMALL,m
LETTER N SMALL,n
LETTER O SMALL,o
LETTER P SMALL,p
LETTER Q SMALL,q
LETTER R SMALL,r
LETTER S SMALL,s
LETTER SMALL T,t
LETTER SMALL U,u
LETTER SMALL V,v
LETTER SMALL W,w
LETTER SMALL X,x
LETTER SMALL Y,y
LETTER SMALL Z,z
LINE LOW,underscore
LINE VERTICAL,bar
LOCK NUM,Num_Lock
LOCK SCROLL,Scroll_Lock
M SMALL,m
MARK QUESTION,question
MARK QUOTATION,quotedbl
MENU,Menu
MINUS,minus
N SMALL,n
NINE,9
NUMBER SIGN,numbersign
O SMALL,o
ONE,1
P SMALL,p
PAGE UP,Page_Up
PAREN RIGHT,parenright
PARENTHESIS RIGHT,parenright
PARENTHESIS RIGHT,parenright
PAUSE,Pause
PERCENT,percent
PERCENT SIGN,percent
PERIOD,period
PIPE,bar
PLUS,plus
PLUS SIGN,plus
PRINT,Print
PRINT SCREEN,Print
Q SMALL,q
R SMALL,r
REVERSE SOLIDUS,backslash
RIGHT,Right
RIGHT SHIFT,Shift_R
RIGHT SUPER,Super_R
S SMALL,s
SCORE UNDER,underscore
SEVEN,7
SHIFT,Shift_L
SIX,6
SLASH,slash
SMALL T,t
SMALL U,u
SMALL V,v
SMALL W,w
SMALL X,x
SMALL Y,y
SMALL Z,z
SOLIDUS,slash
SPACE,space
SUPER,Super_L
TAB,Tab
THREE,3
TILDE,asciitilde
TWO,2
UP,Up
ZERO,0
