ACTION HIDE MENU,F10
ACTION MENU SHOW,F10
ALL SELECT,ctrl+a
AND CLOSE FILE OPEN WINDOW,shift+ctrl+Down
BACK,BackSpace
CLOSE,ctrl+w
CLOSE TAB,ctrl+w
CLOSE WINDOW,ctrl+w
COPY,ctrl+c
CUT,ctrl+x
DELETE PERMANENTLY,shift+Delete
EIGHT SWITCH TAB TO,alt+8
ENTER LOCATION,ctrl+l
FILES HIDDEN HIDE,ctrl+h
FILES HIDDEN SHOW,ctrl+h
FIVE SWITCH TAB TO,alt+5
FOLDER GO HOME TO,alt+Home
FOLDER NEW,shift+ctrl+Page_Down
FOUR SWITCH TAB TO,alt+4
GO NEXT TAB TO,ctrl+Page_Down
GO PREVIOUS TAB TO,ctrl+Page_Up
HELP SHOW,F1
HIDE SIDEBAR,F9
IN NEW OPEN TAB,ctrl+Return
IN NEW OPEN WINDOW,shift+Return
IN ZOOM,ctrl+plus
INVERT SELECTION,shift+ctrl+i
ITEM LOCATION OPEN,ctrl+alt+o
ITEM PROPERTIES SHOW,ctrl+i
ITEMS MATCHING SELECT,ctrl+s
LEFT MOVE TAB,shift+ctrl+Page_Up
MOVE RIGHT TAB,shift+ctrl+Page_Down
MOVE TO TRASH,Delete
NEW TAB,ctrl+t
NEW WINDOW,ctrl+n
NINE SWITCH TAB TO,alt+9
ONE SWITCH TAB TO,alt+1
OPEN,ctrl+o
OUT ZOOM,ctrl+minus
PASTE,ctrl+v
REDO,shift+ctrl+z
REFRESH,F5
RENAME,F2
RESET ZOOM,ctrl+0
RESTORE TAB,ctrl+shift+t
SEARCH,ctrl+f
SEVEN SWITCH TAB TO,alt+7
SHORTCUTS,ctrl+F1
SHOW SIDEBAR,F9
SIX SWITCH TAB TO,alt+6
SWITCH TAB THREE TO,alt+3
SWITCH TAB TO TWO,alt+2
UNDO,ctrl+z
