NEW WINDOW,ctrl+n
CLOSE WINDOW,ctrl+w
CLOSE TAB,ctrl+w
SEARCH,ctrl+f
SHOW HELP,F1
SHORTCUTS,ctrl+F1
OPEN,ctrl+o
OPEN IN NEW TAB,ctrl+Return
OPEN IN NEW WINDOW ,shift+Return
OPEN ITEM LOCATION,ctrl+alt+o
OPEN FILE AND CLOSE WINDOW,shift+ctrl+Down
OPEN WITH DEFAULT APPLICATION,ctrl+o
NEW TAB,ctrl+t
GO TO PREVIOUS TAB,ctrl+Page_Up
GO TO NEXT TAB,ctrl+Page_Down
SWITCH TO TAB 1,alt+1
SWITCH TO TAB 2,alt+2
SWITCH TO TAB 3,alt+3
SWITCH TO TAB 4,alt+4
SWITCH TO TAB 5,alt+5
SWITCH TO TAB 6,alt+6
SWITCH TO TAB 7,alt+7
SWITCH TO TAB 8,alt+8
SWITCH TO TAB 9,alt+9
MOVE TAB LEFT,shift+ctrl+Page_Up
MOVE TAB RIGHT,shift+ctrl+Page_Down
RESTORE TAB,ctrl+shift+t
GO TO HOME FOLDER,alt+Home
ENTER LOCATION,ctrl+l
ZOOM IN,ctrl+plus
ZOOM OUT,ctrl+minus
RESET ZOOM,ctrl+0
REFRESH VIEW,ctrl+r
SHOW HIDE HIDDEN FILES,ctrl+h
SHOW HIDE ACTION MENU,F10
SHOW HIDE SIDEBAR,F9
CREATE FOLDER,shift+ctrl+Page_Down
RENAME,F2
MOVE TO TRASH,Delete
DELETE PERMANENTLY,shift+Delete
CUT,ctrl+x
COPY,ctrl+c
PASTE,ctrl+v
SELECT ALL,ctrl+a
INVERT SELECTION,shift+ctrl+i
SELECT MATCHING ITEMS,ctrl+s
UNDO,ctrl+z
REDO,shift+ctrl+z
SHOW ITEM PROPERTIES,ctrl+i
