new window,Ctrl+n
close window,Ctrl+w
close tab,Ctrl+w
search,Ctrl+f
show help,F1
shortcuts,Ctrl+F1
open,Ctrl+o
open in new tab,Ctrl+Return
open in new window ,Shift+Return
open item location,Ctrl+Alt+o
open file and close window,Shift+Ctrl+Down
open with default application,Ctrl+o
new tab,Ctrl+t
go to previous tab,Ctrl+Page_Up
go to next tab,Ctrl+Page_Down
switch to tab 1,Alt+1
switch to tab 2,Alt+2
switch to tab 3,Alt+3
switch to tab 4,Alt+4
switch to tab 5,Alt+5
switch to tab 6,Alt+6
switch to tab 7,Alt+7
switch to tab 8,Alt+8
switch to tab 9,Alt+9
move tab left,Shift+Ctrl+Page_Up
move tab right,Shift+Ctrl+Page_Down
restore tab,Ctrl+Shift+t
go to home folder,Alt+Home
enter location,Ctrl+l
zoom in,Ctrl+Plus
zoom out,Ctrl+Minus
reset zoom,Ctrl+0
refresh view,Ctrl+r
show hide hidden files,Ctrl+h
show hide action menu,F10
show hide sidebar,F9
create folder,Shift+Ctrl+Page_Down
rename,F2
move to trash,Delete
delete permanently,Shift+Delete
cut,Ctrl+x
copy,Ctrl+c
paste,Ctrl+v
select all,Ctrl+a
invert selection,Shift+Ctrl+i
select matching items,Ctrl+s
undo,Ctrl+z
redo,Shift+Ctrl+z
show item properties,Ctrl+i
