show command palette,Ctrl+Shift+p
quick open,Ctrl+p
go to file,Ctrl+p
new window,Ctrl+Shift+n
close window,Ctrl+w
user settings,"Ctrl+,"
keyboard shortcuts,Ctrl+k Ctrl+s
cut line (empty selection),Ctrl+x
copy line (empty selection),Ctrl+c
paste,Ctrl+v
move line down,Alt+Down
move line up,Alt+Up
delete line,Ctrl+Shift+k
insert line below,Ctrl+Return
insert line above,Ctrl+Shift+Return
jump to matching bracket,Ctrl+Shift+backslash
indent line,Ctrl+bracketright
outdent line,Ctrl+bracketleft
go to beginning of line,Home
go to end of line,End
go to beginning of file,Ctrl+Home
go to end of file,End
scroll line up,Ctrl+Up
scroll line down,Ctrl+Down
scroll page up,Alt+Page_Up
scroll page down,Alt+Page_Down
fold region,Ctrl+Shift+bracketleft
unfold region,Ctrl+Shift+bracketright
fold all subregions,Ctrl+k Ctrl+bracketleft
unfold all subregions,Ctrl+k Ctrl+bracketright
fold all regions,Ctrl+k Ctrl+0
unfoldall regions,Ctrl+k Ctrl+j
add line comment,Ctrl+k Ctrl+c
remove line comment,Ctrl+k Ctrl+u
toggle line comment,Ctrl+slash
toggle block comment,Ctrl+Shift+a
toggle word wrap,Alt+z
trigger suggestion,Ctrl+Space
trigger parameter hints,Ctrl+Shift+Space
format document,Ctrl+Shift+i
format selection,Ctrl+k Ctrl+f
go to definition,F12
peek definition,Ctrl+Shift+F10
open definition to the side,Ctrl+k F12
quick fix,Ctrl+period
show references,Shift+F12
rename symbol,F2
trim trailing whitespace,Ctrl+k Ctrl+x
change file language,Ctrl+k m
insert cursor,Alt+Click
insert cursor above,Shift+Alt+Up
insert cursor below,Shift+Alt+Down
undo last cursor operation,Ctrl+u
insert cursor at end of each line selected,Shift+Alt+i
select current line,Ctrl+l
select all occurrences of current selection,Ctrl+Shift+l
select all occurrences of current word,Ctrl+F2
expand selection,Shift+Alt+Right
shrink selection,Shift+Alt+Left
toggle full screen,F11
toggle editor layout(horizontal/vertical),Shift+Alt+0
zoom in,Ctrl+plus
zoom out,Ctrl+minus
toggle sidebar visibility,Ctrl+b
show explorer,Ctrl+Shift+e
toggle focus,Ctrl+Shift+e
show search,Ctrl+Shift+f
show source control,Ctrl+Shift+g
show debug,Ctrl+Shift+d
show extensions,Ctrl+Shift+x
replace in files,Ctrl+Shift+h
toggle search details,Ctrl+Shift+j
open new command prompt/terminal,Ctrl+Shift+c
show output panel,Ctrl+k Ctrl+h
open markdown preview,Ctrl+Shift+v
open markdown preview to the side,Ctrl+k v
zen mode,Ctrl+k z
exit zen mode,Escape Escape
find,Ctrl+f
replace,Ctrl+h
find next,F3
find previous,Shift+F3
select all occurrences of find match,Alt+Return
add selection to next find match,Ctrl+d
move last selection to next find match,Ctrl+k Ctrl+d
show all symbols,Ctrl+t
go to line...,Ctrl+g
go to file...,Ctrl+p
go to symbol...,Ctrl+Shift+o
show problems panel,Ctrl+Shift+m
go to next error or warning,F8
go to previous error or warning,Shift+F8
navigate editor group history,Ctrl+Shift+Tab
go back,Ctrl+Alt+minus
go forward,Ctrl+Shift+minus
toggle tab moves focus,Ctrl+m
close editor,Ctrl+w
close folder,Ctrl+k f
split editor,Ctrl+backslash
focus into first editor group,Ctrl+1
focus into second editor group,Ctrl+2
focus into third editor group,Ctrl+3
focus into previous editor group,Ctrl+k Ctrl+Left
focus into next editor group,Ctrl+k Ctrl+Right
move editor left,Ctrl+Shift+Page_Up
move editor right,Ctrl+Shift+Page_Down
move active editor group left,Ctrl+k Left
move active editor group up,Ctrl+k Left
move active editor group right,Ctrl+k Right
move active editor group down,Ctrl+k Right
new file,Ctrl+n
open file...,Ctrl+o
save,Ctrl+s
save as...,Ctrl+Shift+s
close,Ctrl+w
close all,Ctrl+k Ctrl+w
reopen closed editor,Ctrl+Shift+t
keep preview mode editor open,Ctrl+k Return
open next,Ctrl+Tab
open previous,Ctrl+Shift+Tab
copy path of active file,Ctrl+k p
reveal active file in explorer,Ctrl+k r
show active file in new window/instance,Ctrl+k o
toggle breakpoint,F9
start,F5
continue,F5
step into,F11
step out,Shift+F11
step over,F10
stop,Shift+F5
show hover,Ctrl+k Ctrl+i
show integrated terminal,Ctrl+grave
create new terminal,Ctrl+Shift+grave
copy selection,Ctrl+Shift+c
paste into active terminal,Ctrl+Shift+v
scroll up,Ctrl+Shift+Up
scroll down,Ctrl+Shift+Down
scroll page up,Shift+Page_Up
scroll page down,Shift+Page_Down
scroll to top,Shift+Home
scroll to bottom,Shift+End
back,Ctrl+bracketleft
forward,Ctrl+bracketright
home,Alt+Home
open file,Ctrl+o
reload,Ctrl+r
reload (override cache),Ctrl+Shift+r
stop,Escape
focus next link or input field,Tab
focus previous link or input field,Shift+Tab
go down a screen,Page_Down
go up a screen,Page_Up
go to bottom of page,End
go to top of page,Home
move to next frame,F6
move to previous frame,Shift+F6
print,Ctrl+p
save page as,Ctrl+s
zoom in,Ctrl+plus
zoom out,Ctrl+minus
zoom reset,Ctrl+0
copy,Ctrl+c
cut,Ctrl+x
delete,Delete
delete word to the left,Ctrl+Backspace
delete word to the right,Ctrl+Delete
go one word to the left,Ctrl+Left
go one word to the right,Ctrl+Right
go to beginning of line,Home
go to end of line,End
go to beginning of text,Ctrl+Home
go to end of text,Ctrl+End
paste,Ctrl+v
paste (as plain text),Ctrl+Shift+v
redo,Ctrl+Shift+z
select all,Ctrl+a
undo,Ctrl+z
find,Ctrl+f
find again,Ctrl+g
find previous,Ctrl+Shift+g
quick find within link-text only,apostrophe
quick find,slash
close the find or quick find bar,Escape
focus search bar,Ctrl+k
close tab,Ctrl+w
close window,Ctrl+Shift+w
cycle through tabs in recently used order,Ctrl+Tab
quit,Ctrl+q
go one tab to the left,Ctrl+Page_Up
go one tab to the right,Ctrl+Page_Down
move tab left,Ctrl+Shift+Page_Up
move tab right,Ctrl+Shift+Page_Down
move tab to start,Ctrl+Shift+Home
move tab to end,Ctrl+Shift+End
mute/unmute audio,Ctrl+m
new tab,Ctrl+t
new window,Ctrl+n
new private window,Ctrl+Shift+p
undo close tab,Ctrl+Shift+t
undo close window,Ctrl+Shift+n
history sidebar,Ctrl+h
library window (history),Ctrl+Shift+h
clear recent history,Ctrl+Shift+Delete
bookmark this page,Ctrl+d
bookmarks sidebar,Ctrl+b
library window (bookmarks),Ctrl+Shift+o
downloads,Ctrl+Shift+y
add-ons,Ctrl+Shift+a
toggle developer tools,Ctrl+Shift+i
web console,Ctrl+Shift+k
inspector,Ctrl+Shift+c
debugger,Ctrl+Shift+s
style editor,Shift+F7
profiler,Shift+F5
network,Ctrl+Shift+e
developer toolbar,Shift+F2
responsive design view,Ctrl+Shift+m
scratchpad,Shift+F4
page source,Ctrl+u
browser console,Ctrl+Shift+j
page info,Ctrl+i
next page,n
previous page,p
rotate the document clockwise,r
rotate counterclockwise,Shift+r
switch to presentation mode,Ctrl+Alt+p
choose text selection tool,s
choose hand tool,h
focus the page number input box,Ctrl+Alt+g
complete .com address,Ctrl+Return
delete selected autocomplete entry,Delete
toggle full screen,F11
toggle menu bar activation (showing it temporarily when hidden),F10
toggle reader mode,Ctrl+Alt+r
caret browsing,F7
select location bar,Ctrl+l
go to search field in library,Ctrl+f
stop autoscroll mode,Escape
cancel drag-and-drop operation,Escape
clear search field in library or sidebar,Escape
close a menu,Escape
toggle context menu,Shift+F10
toggle play/pause,space
decrease volume,Down
increase volume,Up
mute audio,Ctrl+Down
unmute audio,Ctrl+Up
seek back fifteen seconds,Left
seek back ten percent,Ctrl+Left
seek forward fifteen seconds,right
seek forward ten percent,Ctrl+Right
seek to the beginning,Home
seek to the end,End
switch to the next tab to the left,Ctrl+Alt+Page_Up
switch to the next tab to the right,Ctrl+Alt+Page_Down
close tab,Ctrl+w
save all tabs,Ctrl+Shift+l
close all tabs,Ctrl+Shift+w
reopen the most recently closed tab,Ctrl+Shift+t
switch to tab 1,Alt+1
switch to tab 2,Alt+2
switch to tab 3,Alt+3
switch to tab 4,Alt+4
switch to tab 5,Alt+5
switch to tab 6,Alt+6
switch to tab 7,Alt+7
switch to tab 8,Alt+8
switch to tab 9,Alt+9
new tab group,Ctrl+Alt+n
previous tab group,Shift+Ctrl+Alt+Page_Up
next tab group,Shift+Ctrl+Alt+Page_Down
create a new document in a new window,Ctrl+n
create a new document in a new tab,Ctrl+t
open a document,Ctrl+o
open the quick open window,Alt+o
save the current document,Ctrl+s
save the current document with a new filename,Ctrl+Shift+s
print the current document,Ctrl+p
print preview,Ctrl+Shift+p
close the current document,Ctrl+w
quit gedit,Ctrl+q
move to the beginning of the current line,Home
move to the end of the current line,End
move to the beginning of the document,Ctrl+Home
move to the end of the document,Ctrl+End
move the selected word right one word,Alt+Right
move the selected word left one word,Alt+Left
undo the last action,Ctrl+z
redo the last undone action,Ctrl+Shift+z
cut,Ctrl+x
copy,Ctrl+c
paste,Ctrl+v
select all text in the file,Ctrl+a
delete the current line,Ctrl+d
move the selected line up one line,Alt+Up
move the selected line down one line,Alt+Down
add a tab stop,Tab
remove a tab stop,Shift+Tab
convert the selected text to upper case,Ctrl+u
convert the selected text to lower case,Ctrl+l
toggle case of the selected text,Ctrl+asciitilde
show / hide the side panel,F9
open the file menu,F10
find a string,Ctrl+f
find the next instance of the string,Ctrl+g
find the previous instance of the string,Ctrl+Shift+g
search and replace,Ctrl+h
clear highlight,Ctrl+Shift+k
goto line,Ctrl+i
check spelling,Shift+F7
remove trailing spaces (with plugin),Alt+F12
run "make" in the current directory (with plugin),F8
directory listing (with plugin),Ctrl+Shift+d
open the gedit user guide,F1
hide all normal windows,Ctrl+Super+d
move to workspace above,Super+Page_Up
move to workspace below,Super+Page_Down
move window one monitor down,Shift+Super+Page_Down
move window one monitor to the left,Shift+Super+Page_Left
move window one monitor up,Shift+Super+Page_Up
move window one monitor to the right,Shift+Super+Page_Right
move window one workspace down,Shift+Super+Page_Down
move window one workspace up,Shift+Super+Page_Up
move window to last working space,Shift+Super+End
switch windows,Alt+Tab
switch windows directly,Alt+Esc
switch windows of an app directly,Alt+F6
copy a screenshot of a window to clipboard,Ctrl+Alt+Print
copy a screenshot of an to clipboard,Ctrl+Shift+Print
copy a screenshot to clipboard,Ctrl+Print
record a short screencast,Shift+Ctrl+Alt+r
save a screenshot of a window to pictures,Alt+Print
save a screenshot of an area to pictures,Shift+Print
save a screenshot to pictures,Print
focus the active notification,Super+n
lock screen,Super+l
log out,Ctrl+Alt+Delete
open the application menu,Super+F10
restore the keyboard shortcuts,Super+Esc
show all applications,Super+a
show the activities overview,Alt+F1
show the notification list,Super+v
show the overview,Super+s
show the run command prompt,Alt+F2
switch to next input source,Super+Space
switch to previous input source,Shift+Super+Space
turn screen reader on,Alt+Super+S
turn screen reader off,Alt+Super+S
turn zoom on,Alt+Super+8
turn zoom off,Alt+Super+8
zoom in,Alt+Super+equal
zoom out,Alt+Super+minus
activate the window menu,Alt+Space
close window,Alt+F4
hide window,Super+h
maximize window,Super+Page_Up
move window,Alt+F7
resize window,Alt+F8
restore window,Super+Down
toggle maximization state,Alt+F10
view split on left,Super+left
view split on right,Super+Right
new window,Ctrl+n
close window,Ctrl+w
close tab,Ctrl+w
search,Ctrl+f
show help,F1
shortcuts,Ctrl+F1
open,Ctrl+o
open in new tab,Ctrl+Return
open in new window ,Shift+Return
open item location,Ctrl+Alt+o
open file and close window,Shift+Ctrl+Down
open with default application,Ctrl+o
new tab,Ctrl+t
go to previous tab,Ctrl+Page_Up
go to next tab,Ctrl+Page_Down
switch to tab 1,Alt+1
switch to tab 2,Alt+2
switch to tab 3,Alt+3
switch to tab 4,Alt+4
switch to tab 5,Alt+5
switch to tab 6,Alt+6
switch to tab 7,Alt+7
switch to tab 8,Alt+8
switch to tab 9,Alt+9
move tab left,Shift+Ctrl+Page_Up
move tab right,Shift+Ctrl+Page_Down
restore tab,Ctrl+Shift+t
go to home folder,Alt+Home
enter location,Ctrl+l
zoom in,Ctrl+Plus
zoom out,Ctrl+Minus
reset zoom,Ctrl+0
refresh view,Ctrl+r
show hide hidden files,Ctrl+h
show hide action menu,F10
show hide sidebar,F9
create folder,Shift+Ctrl+Page_Down
rename,F2
move to trash,Delete
delete permanently,Shift+Delete
cut,Ctrl+x
copy,Ctrl+c
paste,Ctrl+v
select all,Ctrl+a
invert selection,Shift+Ctrl+i
select matching items,Ctrl+s
undo,Ctrl+z
redo,Shift+Ctrl+z
show item properties,Ctrl+i
new tab,Shift+Ctrl+t
new window,Shift+Ctrl+n
close tab,Shift+Ctrl+w
close window,Shift+Ctrl+q
copy,Shift+Ctrl+c
paste,Shift+Ctrl+v
full screen,F11
zoom in,Ctrl+plus
zoom out,Ctrl+minus
normal size,Ctrl+0
find,Shift+Ctrl+f
find next,Shift+Ctrl+g
find previous,Shift+Ctrl+h
clear highlight,Shift+Ctrl+j
switch to previous tab,Ctrl+Page_Up
switch to next tab,Ctrl+Page_Down
move tab to the left,Shift+Ctrl+Page_Up
move tab to the right,Shift+Ctrl+Page_Down
switch to tab 1,Alt+1
switch to tab 2,Alt+2
switch to tab 3,Alt+3
switch to tab 4,Alt+4
switch to tab 5,Alt+5
switch to tab 6,Alt+6
switch to tab 7,Alt+7
switch to tab 8,Alt+8
switch to tab 9,Alt+9
switch to tab 10,Alt+0
scroll up by one line,Shift+Ctrl+Up
scroll down by one line,Shift+Ctrl+Down
scroll up by one page,Shift+Page_Up
scroll down by one page,Shift+Page_Down
scroll to the top,Shift+Home
scroll to the bottom,Shift+End
erase a word,Ctrl+w
erase a line,Ctrl+u
move to the start of the line,Ctrl+a
move to the end of the line,Ctrl+e
move back one character,Ctrl+b
move back one word,Alt+b
move forward one character,Ctrl+f
move forward one word,Alt+f
delete from the cursor to the beginning of the line,Ctrl+u
delete from the cursor to the end of the line,Ctrl+k
delete from the cursor to the start of the word,Ctrl+w
delete previous word,Alt+Backspace
paste text from the clipboard,Ctrl+y
